Model,sSpec number,Cores (threads),Clock rate,Turbo,L2 cache,L3 cache,GPU model,GPU frequency,TDP,Socket,I/O bus,Release date,Part number(s),Release price (USD)
Core i7-8550U,SR3LC (Y0),4 (8),1.8 GHz,19/19/22/22,4 × 256 KB,8 MB,UHD Graphics 620,300–1150 MHz,15 W,BGA 1356,DMI 3.0,August 2017,FJ8067703281816,$409
Core i7-8650U,SR3L8 (Y0),4 (8),1.9 GHz,20/20/23/23,4 × 256 KB,8 MB,UHD Graphics 620,300–1150 MHz,15 W,BGA 1356,DMI 3.0,August 2017,FJ8067703281718,$409
