Model,sSpec number,Cores (threads),Clock rate,Turbo,L2 cache,L3 cache,GPU model,GPU frequency,TDP,Socket,I/O bus,Release date,Part number(s),Release price (USD),Unnamed: 15,Unnamed: 16
Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power
Core i7-6567U,SR2JH (K1),2 (4),3.3 GHz,1/3,2 × 256 KB,4 MB,Iris Graphics 550,300–1100 MHz,28 W,BGA 1356,DMI 3.0,September 2015,FJ8066202499000,$415,,
Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power
Core i7-6498DU,SR2NS (D1),2 (4),2.5 GHz,5/6,2 × 256 KB,4 MB,HD Graphics 510,300–1050 MHz,15 W,BGA 1356,DMI 3.0,December 2015,FJ8066201930413,$393,,
Core i7-6500U,SR2EZ (D1),2 (4),2.5 GHz,5/6,2 × 256 KB,4 MB,HD Graphics 520,300–1050 MHz,15 W,BGA 1356,DMI 3.0,September 2015,FJ8066201930408,$393,,
Core i7-6560U,SR2JB (K1),2 (4),2.2 GHz,9/10,2 × 256 KB,4 MB,Iris Graphics 540,300–1050 MHz,15 W,BGA 1356,DMI 3.0,September 2015,FJ8066202496507,$415,,
Core i7-6600U,SR2F1 (D1),2 (4),2.6 GHz,6/8,2 × 256 KB,4 MB,HD Graphics 520,300–1050 MHz,15 W,BGA 1356,DMI 3.0,September 2015,FJ8066201924950,$393,,
Core i7-6650U,SR2KA (K1),2 (4),2.2 GHz,10/12,2 × 256 KB,4 MB,Iris Graphics 540,300–1050 MHz,15 W,BGA 1356,DMI 3.0,September 2015,FJ8066202499212,$415,,
Core i7-6660U,SR2JL (K1),2 (4),2.4 GHz,9/10,2 × 256 KB,4 MB,Iris Graphics 540,300–1050 MHz,15 W,BGA 1356,DMI 3.0,March 2016,FJ8066202499207,$415,,
