Model number,P-core (performance),P-core (performance),P-core (performance),P-core (performance),E-core (efficiency),E-core (efficiency),E-core (efficiency),E-core (efficiency),L3 cache,GPU model,GPU frequency,Power,Power,Socket,I/O bus,Release date,sSpec number,Part number(s),Release price (USD)
Model number,Cores (threads),Freq.,Turbo,L2 cache,Cores (threads),Freq.,Turbo,L2 cache,L3 cache,GPU model,GPU frequency,Base,Max Turbo,Socket,I/O bus,Release date,sSpec number,Part number(s),Release price (USD)
Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile
Core i7-13620H,6 (12),2.4 GHz,4.9 GHz,6 × 1.25 MB,4 (4),1.8 GHz,3.6 GHz,1 × 2 MB,24 MB,Iris Xe (64 EU),?–1500 MHz,45 W,115 W,BGA 1744,DMI 4.0 ×8,January 2023,SRMJ0 (J0),FJ8071505203800,$502
Core i7-13700H,6 (12),2.4 GHz,5.0 GHz,6 × 1.25 MB,8 (8),1.8 GHz,3.7 GHz,2 × 2 MB,24 MB,Iris Xe (96 EU),?–1500 MHz,45 W,115 W,BGA 1744,DMI 4.0 ×8,January 2023,SRMJ1 (J0),FJ8071505203900,$502
Core i7-13800H,6 (12),2.5 GHz,5.2 GHz,6 × 1.25 MB,8 (8),1.8 GHz,4.0 GHz,2 × 2 MB,24 MB,Iris Xe (96 EU),?–1500 MHz,45 W,115 W,BGA 1744,DMI 4.0 ×8,January 2023,SRMJ2 (J0),FJ8071505204000,$457
Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded
Core i7-13800HE,6 (12),2.5 GHz,5.0 GHz,6 × 1.25 MB,8 (8),,4.0 GHz,2 × 2 MB,24 MB,Iris Xe (96 EU),?–1400 MHz,45 W,115 W,,DMI 4.0 ×8,January 2023,SRMJJ (J0),FJ8071505204005,
