Model,sSpec number,Cores (threads),Clock rate,Turbo,L2 cache,L3 cache,GPU model,GPU frequency,TDP,Socket,I/O bus,Release date,Part number(s),Release price (USD)
Core i7-10510U,SRGKW (V0) SRH7N (V0) SRJ7S (K1),4 (8),1.8 GHz,25/?/?/31,4 × 256 KB,8 MB,UHD Graphics 620,300–1150 MHz,15 W,BGA 1528,DMI 3.0,August 2019,FJ8070104303905 FJ8070104507400 FJ8070104500000,$409
Core i7-10610U,SRGKV (V0) SRJ7R (K1),4 (8),1.8 GHz,25/?/?/31,4 × 256 KB,8 MB,UHD Graphics 620,300–1150 MHz,15 W,BGA 1528,DMI 3.0,May 2020,FJ8070104303806 FJ8070104499900,$409
Core i7-10710U,SRGP2 (A0) SRJ7P (K1),6 (12),1.1 GHz,28/?/?/?/?/36,6 × 256 KB,12 MB,UHD Graphics 620,300–1150 MHz,15 W,BGA 1528,DMI 3.0,August 2019,FJ8070104276914 FJ8070104499700,$443
Core i7-10810U,SRGP1 (A0) SRJ7Q (K1),6 (12),1.1 GHz,28/?/?/?/?/36,6 × 256 KB,12 MB,UHD Graphics 620,300–1150 MHz,15 W,BGA 1528,DMI 3.0,May 2020,FJ8070104276809 FJ8070104499800,$443
