Model,sSpec number,Cores,Clock rate,Turbo,L2 cache,L3 cache,GPU model,GPU frequency,TDP,Socket,I/O bus,Release date,Part number(s),Release price (USD),Unnamed: 15,Unnamed: 16
Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power
Core i7-4558U,SR188 (C0),2,2.8 GHz,3/5,2 × 256 KB,4 MB,Iris Graphics 5100,200–1200 MHz,28 W,BGA-1168,DMI 2.0,June 2013,CL8064701481303,$454,,
Core i7-4578U,SR1ZT (C0),2,3 GHz,3/5,2 × 256 KB,4 MB,Iris Graphics 5100,200–1200 MHz,28 W,BGA-1168,DMI 2.0,July 2014,CL8064701954600,$426,,
Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power
Core i7-4500U,SR16Z (C0),2,1.8 GHz,9/12,2 × 256 KB,4 MB,HD Graphics 4400,200–1100 MHz,15 W,BGA-1168,DMI 2.0,June 2013,CL8064701477202,$398,,
Core i7-4510U,SR1EB (D0),2,2 GHz,8/11,2 × 256 KB,4 MB,HD Graphics 4400,200–1100 MHz,15 W,BGA-1168,DMI 2.0,April 2014,CL8064701477301,$393,,
Core i7-4550U,SR16J (C0),2,1.5 GHz,12/15,2 × 256 KB,4 MB,HD Graphics 5000,200–1100 MHz,15 W,BGA-1168,DMI 2.0,June 2013,CL8064701462901,$454,,
Core i7-4600U,SR1EA (D0),2,2.1 GHz,9/12,2 × 256 KB,4 MB,HD Graphics 4400,200–1100 MHz,15 W,BGA-1168,DMI 2.0,September 2013,CL8064701477000,$398,,
Core i7-4650U,SR16H (C0),2,1.7 GHz,12/16,2 × 256 KB,4 MB,HD Graphics 5000,200–1100 MHz,15 W,BGA-1168,DMI 2.0,June 2013,CL8064701462800,$454,,
