Model,sSpec number,Cores (threads),Clock rate,Turbo,L2 cache,L3 cache,GPU model,GPU frequency,TDP,Memory,Release date,Part number(s),Release price (USD)
Core i7-1160G7,SRK0E (B1),4 (8),0.9-2.1 GHz,4.4 GHz,4 × 1.25 MB,12 MB,Iris Xe (96 EU),?–1100 MHz,7–15 W,2× LPDDR4X-4266,September 2020,FH8069004532205,$426
Core i7-1180G7,SRK0D (B1),4 (8),0.9-2.2 GHz,4.6 GHz,4 × 1.25 MB,12 MB,Iris Xe (96 EU),?–1100 MHz,7–15 W,2× LPDDR4X-4266,January 2021,FH8069004532104,$426
