Model,sSpec number,Cores,Clock rate,Turbo,L2 cache,L3 cache,GPU model,GPU frequency,TDP,Socket,I/O bus,Release date,Part number(s),Release price (USD),Unnamed: 15,Unnamed: 16
Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power,Standard power
Core i7-3610QM,SR0MN (E1),4,2.3 GHz,8/8/9/10[Note 2],4 × 256 KB,6 MB,HD Graphics 4000,650–1100 MHz,45 W,Socket G2,DMI 2.0,April 2012,AW8063801013511,$378,,
Core i7-3615QM,SR0MP (E1),4,2.3 GHz,8/8/9/10,4 × 256 KB,6 MB,HD Graphics 4000,650–1200 MHz,45 W,BGA-1224,DMI 2.0,April 2012,AV8063801013612,$378,,
Core i7-3630QM,SR0UX (E1),4,2.4 GHz,8/8/9/10,4 × 256 KB,6 MB,HD Graphics 4000,650–1150 MHz,45 W,Socket G2,DMI 2.0,September 2012,AW8063801106200,$378,,
Core i7-3635QM,SR0UY (E1),4,2.4 GHz,8/8/9/10,4 × 256 KB,6 MB,HD Graphics 4000,650–1200 MHz,45 W,BGA-1224,DMI 2.0,September 2012,AV8063801106500,$378,,
Core i7-3720QM,SR0ML (E1) SR0MM (E1),4,2.6 GHz,8/8/9/10,4 × 256 KB,6 MB,HD Graphics 4000,650–1250 MHz,45 W,Socket G2 BGA-1224,DMI 2.0,April 2012,AW8063801013116 AV8063801013210,$378,,
Core i7-3740QM,SR0UV (E1) SR0UW (E1),4,2.7 GHz,8/8/9/10,4 × 256 KB,6 MB,HD Graphics 4000,650–1300 MHz,45 W,Socket G2 BGA-1224,DMI 2.0,September 2012,AW8063801105000 BX80638I73740QM AV8063801105300,$378,,
Core i7-3820QM,SR0MJ (E1) SR0MK (E1),4,2.7 GHz,8/8/9/10,4 × 256 KB,8 MB,HD Graphics 4000,650–1250 MHz,45 W,Socket G2 BGA-1224,DMI 2.0,April 2012,AW8063801012708 AV8063801012807,$568,,
Core i7-3840QM,SR0UT (E1) SR0UU (E1),4,2.8 GHz,8/8/9/10,4 × 256 KB,8 MB,HD Graphics 4000,650–1300 MHz,45 W,Socket G2 BGA-1224,DMI 2.0,September 2012,AW8063801103800 BX80638I73840QM AV8063801104100,$568,,
Core i7-3920XM,SR0MH (E1) SR0T2 (E1),4,2.9 GHz,7/7/8/9,4 × 256 KB,8 MB,HD Graphics 4000,650–1300 MHz,55 W,Socket G2,DMI 2.0,April 2012,AW8063801009606 AW8063801009607,$1096,,
Core i7-3940XM,SR0US (E1),4,3 GHz,7/7/8/9,4 × 256 KB,8 MB,HD Graphics 4000,650–1350 MHz,55 W,Socket G2,DMI 2.0,September 2012,AW8063801103501,$1096,,
"Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded","Standard power, embedded"
Core i7-3610QE,SR0NP (E1),4,2.3 GHz,8/8/9/10,4 × 256 KB,6 MB,HD Graphics 4000,650–1000 MHz,45 W,Socket G2,DMI 2.0,April 2012,AW8063801118306,$393,,
Core i7-3615QE,SR0NC (E1),4,2.3 GHz,8/8/9/10,4 × 256 KB,6 MB,HD Graphics 4000,650–1000 MHz,45 W,BGA-1023,DMI 2.0,April 2012,AV8063801117503,$393,,
Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power,Low power
Core i7-3612QM,SR0MQ (E1) SR0MR (E1),4,2.1 GHz,7/7/9/10,4 × 256 KB,6 MB,HD Graphics 4000,650–1100 MHz,35 W,Socket G2 BGA-1224,DMI 2.0,April 2012,AV8063801130504 AV8063801130704,$378,,
Core i7-3632QM,SR0V0 (E1) SR0UZ (E1),4,2.2 GHz,7/7/9/10,4 × 256 KB,6 MB,HD Graphics 4000,650–1150 MHz,35 W,Socket G2 BGA-1224,DMI 2.0,October 2012,AW8063801152800 AV8063801152700,$378,,
"Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded","Low power, embedded"
Core i7-3612QE,SR0ND (E1),4,2.1 GHz,7/7/9/10,4 × 256 KB,6 MB,HD Graphics 4000,650–1000 MHz,35 W,BGA-1023,DMI 2.0,April 2012,AV8063801149203,$426,,
