Model number,P-core (performance),P-core (performance),P-core (performance),P-core (performance),E-core (efficiency),E-core (efficiency),E-core (efficiency),E-core (efficiency),L3 cache,GPU model,GPU frequency,Power,Power,Socket,I/O bus,Release date,sSpec number,Part number(s),Release price (USD)
Model number,Cores (threads),Freq.,Turbo,L2 cache,Cores (threads),Freq.,Turbo,L2 cache,L3 cache,GPU model,GPU frequency,Base,Max Turbo,Socket,I/O bus,Release date,sSpec number,Part number(s),Release price (USD)
"Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package","Embedded, high performance, in LGA package"
Core i7-12700HL,6 (12),2.3 GHz,4.7 GHz,6 × 1.25 MB,8 (8),,3.5 GHz,2 × 2 MB,24 MB,Iris Xe (96 EU),?–1400 MHz,45 W,65 W,LGA 1700,DMI 4.0 ×8,Q3 2022,SRM13 (L0),CM8071504806927,$430
Core i7-12800HL,6 (12),2.4 GHz,4.8 GHz,6 × 1.25 MB,8 (8),,3.7 GHz,2 × 2 MB,24 MB,Iris Xe (96 EU),?–1400 MHz,45 W,65 W,LGA 1700,DMI 4.0 ×8,Q3 2022,SRM10 (L0),CM8071504806920,$457
"Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package","Embedded, power efficient, in LGA package"
Core i7-1255UL,2 (4),1.7 GHz,4.7 GHz,2 × 1.25 MB,8 (8),,2.6 GHz,2 × 2 MB,12 MB,Iris Xe (96 EU),?–1250 MHz,15 W,28 W,LGA 1700,DMI 4.0 ×8,Q3 2022,SRMCA (R0),CM8071505164200,$399
Core i7-1265UL,2 (4),1.8 GHz,4.8 GHz,2 × 1.25 MB,8 (8),,2.7 GHz,2 × 2 MB,12 MB,Iris Xe (96 EU),?–1250 MHz,15 W,28 W,LGA 1700,DMI 4.0 ×8,Q3 2022,SRMCB (R0),CM8071505164300,$426
