Model,sSpec number,Cores (threads),Clock rate,Turbo,L2 cache,L3 cache,GPU model,GPU frequency,TDP,Memory,Release date,Part number(s),Release price (USD),Unnamed: 14,Unnamed: 15,Unnamed: 16
Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile
Core i7-11700B,,8 (16),3.2 GHz,16/?/?/?/?/?/?/21,8 × 1.25 MB,24 MB,UHD Graphics (32 EU),350–1450 MHz,65 W,2× DDR4-3200,Q2 2021,,,,,
